Dataset,IoTSubdomain(Entrada),Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,SecurityPublic,Accelerometer,ActivePixel,Alarm,AnalogImageProcessing,AngleSensitivePixel,Auxanometer,BackIlluminated,Catadioptric,Cmos,Colorimeter,Flow,GasDetector,GroundSpeedRadar,Heartbeat,HookGaugeEvaporimeter,Hyperspectral,Image,ImageFormat,Impact,Intelligent,Leaf,Microbolometer,Microphone,MillimeterWaveScanner,MotionDetector,Nano,Occupancy,OmnidirectionalCamera,PassiveInfrared,PhotoElectric,PiezoElectricAccelerometer,Position,Proximity,PushBroomScanner,QuartzThermometer,RangeImaging,SmartDust,Snotel,Grid,SoundLocator,StaringArray,StaringArray,Tactile,Thermocouple,TimeOfFlightCamera,UltraWideBandRadar,Video,VisualNetwork,WirelessNetwork,,,,,,,,,
2,SecurityPublic,AngleSensitivePixel,Auxanometer,BackIlluminated,Catadioptric,Cmos,Colorimeter,Flow,GasDetector,GroundSpeedRadar,Heartbeat,HookGaugeEvaporimeter,Hyperspectral,Image,Intelligent,Leaf,Microbolometer,Microphone,MillimeterWaveScanner,MotionDetector,Nano,Occupancy,OmnidirectionalCamera,PassiveInfrared,Position,Proximity,PushBroomScanner,QuartzThermometer,RangeImaging,SmartDust,Snotel,Grid,SoundLocator,StaringArray,StaringArray,Tactile,Thermocouple,TimeOfFlightCamera,UltraWideBandRadar,Video,VisualNetwork,WirelessNetwork,,,,,,,,,,,,,,,,,
3,SecurityPublic,Accelerometer,ActivePixel,AngleSensitivePixel,Auxanometer,BackIlluminated,Catadioptric,Cmos,Colorimeter,Flow,GasDetector,GroundSpeedRadar,Heartbeat,HookGaugeEvaporimeter,Hyperspectral,Image,ImageFormat,Impact,Intelligent,Leaf,Microbolometer,Microphone,MillimeterWaveScanner,Occupancy,OmnidirectionalCamera,PassiveInfrared,PhotoElectric,PiezoElectricAccelerometer,Position,Proximity,PushBroomScanner,QuartzThermometer,RangeImaging,SmartDust,Snotel,Grid,SoundLocator,StaringArray,StaringArray,Tactile,Thermocouple,,,,,,,,,,,,,,,,,,
4,SecurityPublic,Accelerometer,AnalogImageProcessing,AngleSensitivePixel,Auxanometer,BackIlluminated,Catadioptric,Cmos,GasDetector,GroundSpeedRadar,Heartbeat,HookGaugeEvaporimeter,Hyperspectral,Image,ImageFormat,Impact,Intelligent,Leaf,Microbolometer,Microphone,Nano,Occupancy,OmnidirectionalCamera,PassiveInfrared,PhotoElectric,PiezoElectricAccelerometer,Position,Proximity,PushBroomScanner,QuartzThermometer,RangeImaging,SmartDust,Snotel,Grid,StaringArray,Tactile,Thermocouple,TimeOfFlightCamera,UltraWideBandRadar,Video,VisualNetwork,WirelessNetwork,,,,,,,,,,,,,,,,,
5,SecurityPublic,ActivePixel,Alarm,Auxanometer,BackIlluminated,Catadioptric,Cmos,Colorimeter,GroundSpeedRadar,Heartbeat,HookGaugeEvaporimeter,Hyperspectral,Image,ImageFormat,Impact,Intelligent,Leaf,Microbolometer,Microphone,MillimeterWaveScanner,Occupancy,OmnidirectionalCamera,PassiveInfrared,PhotoElectric,PiezoElectricAccelerometer,Position,Proximity,PushBroomScanner,QuartzThermometer,RangeImaging,SmartDust,Snotel,Grid,SoundLocator,StaringArray,StaringArray,Tactile,Thermocouple,TimeOfFlightCamera,UltraWideBandRadar,Video,,,,,,,,,,,,,,,,,,
6,SecurityPublic,Accelerometer,ActivePixel,Alarm,AnalogImageProcessing,AngleSensitivePixel,Colorimeter,Flow,GasDetector,GroundSpeedRadar,Heartbeat,HookGaugeEvaporimeter,Hyperspectral,Image,ImageFormat,Impact,Intelligent,Leaf,Microbolometer,Microphone,MillimeterWaveScanner,MotionDetector,Nano,Occupancy,OmnidirectionalCamera,PassiveInfrared,Position,Proximity,PushBroomScanner,QuartzThermometer,RangeImaging,SmartDust,Snotel,Grid,StaringArray,Tactile,Thermocouple,TimeOfFlightCamera,UltraWideBandRadar,Video,VisualNetwork,WirelessNetwork,,,,,,,,,,,,,,,,,
7,SecurityPublic,Flow,GasDetector,MotionDetector,Nano,Occupancy,OmnidirectionalCamera,PassiveInfrared,PhotoElectric,PiezoElectricAccelerometer,Position,Proximity,PushBroomScanner,QuartzThermometer,RangeImaging,SmartDust,Snotel,Grid,SoundLocator,Tactile,Thermocouple,TimeOfFlightCamera,UltraWideBandRadar,Video,VisualNetwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SecurityPublic,Impact,QuartzThermometer,RangeImaging,SmartDust,Snotel,Grid,SoundLocator,StaringArray,StaringArray,Tactile,Thermocouple,TimeOfFlightCamera,UltraWideBandRadar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,SecurityPublic,AnalogImageProcessing,AngleSensitivePixel,Auxanometer,BackIlluminated,Microphone,MillimeterWaveScanner,MotionDetector,Nano,Occupancy,OmnidirectionalCamera,PassiveInfrared,PhotoElectric,PiezoElectricAccelerometer,Position,Proximity,PushBroomScanner,QuartzThermometer,RangeImaging,SmartDust,Snotel,Grid,SoundLocator,StaringArray,StaringArray,Tactile,Thermocouple,TimeOfFlightCamera,WirelessNetwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,SecurityPublic,Accelerometer,ActivePixel,Colorimeter,RangeImaging,SmartDust,Snotel,Grid,SoundLocator,UltraWideBandRadar,Video,VisualNetwork,WirelessNetwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
